epoch,train_loss,train_acc,val_loss,val_acc
1.0,9.030476420772192,0.33003257328990226,12.495844890196466,0.3505275498241501
2.0,1.910379181793536,0.8772638436482084,13.041899135495685,0.3552168815943728
3.0,0.29191047374996376,0.9786319218241042,13.098020482035343,0.3493552168815944
4.0,0.06633562309393494,0.9953094462540717,13.1221875618938,0.3505275498241501
5.0,0.025053393319465298,0.9983061889250814,13.12929044546863,0.3493552168815944
6.0,0.009833624098177014,0.998957654723127,13.140263229853103,0.3505275498241501
7.0,0.008727781514137382,0.9990879478827361,13.141230152751747,0.3493552168815944
8.0,0.011060115218993749,0.9990879478827361,13.143329394520517,0.3505275498241501
9.0,0.007259867526463317,0.9990879478827361,13.137187863849672,0.3505275498241501
10.0,0.0071514840861153905,0.9990879478827361,13.139730179575375,0.3493552168815944
11.0,0.008056950625731224,0.998957654723127,13.139503475649835,0.3493552168815944
12.0,0.006105751465728843,0.9993485342019544,13.134983593805455,0.3505275498241501
13.0,0.005981575642967523,0.9992182410423452,13.135095372708713,0.3493552168815944
14.0,0.00769308366693293,0.9992182410423452,13.134600324060544,0.3505275498241501
15.0,0.008117333110179207,0.9992182410423452,13.138287913198347,0.3505275498241501
16.0,0.005280855814137584,0.9993485342019544,13.137952776614835,0.3505275498241501
17.0,0.005777024053890279,0.9993485342019544,13.133609460917894,0.3505275498241501
18.0,0.00687601218340318,0.9992182410423452,13.137353955231966,0.3505275498241501
19.0,0.003880921322592619,0.9994788273615636,13.133096034194212,0.3505275498241501
20.0,0.00807390776455648,0.9992182410423452,13.136861397540862,0.3505275498241501
21.0,0.005228702309918,0.9993485342019544,13.136604948591655,0.3505275498241501
22.0,0.005742572846962556,0.9993485342019544,13.132338084481386,0.3505275498241501
23.0,0.005218659573589551,0.9993485342019544,13.132104559492534,0.3505275498241501
24.0,0.005487069867348263,0.9993485342019544,13.131939369237436,0.3505275498241501
25.0,0.006420077161081293,0.9993485342019544,13.131726005572087,0.3505275498241501
