epoch,train_loss,train_acc,val_loss,val_acc
1.0,8.469581528828277,0.32625407166123777,13.25556818010659,0.3364595545134818
2.0,2.455986591395027,0.8252768729641694,13.290556148515636,0.34114888628370454
3.0,0.6889532315692218,0.9364169381107492,13.352612361259505,0.3364595545134818
4.0,0.3446942945489666,0.9684690553745928,13.565973904599618,0.3305978898007034
5.0,0.2185381695366061,0.9825407166123779,13.64876289524199,0.33294255568581477
6.0,0.15459047643328236,0.9869706840390879,13.700580704254115,0.3388042203985932
7.0,0.10651106966362131,0.9906188925081433,13.689932502308316,0.34114888628370454
8.0,0.0971441794836026,0.9920521172638437,13.656503628175116,0.34349355216881594
9.0,0.08838437356661508,0.9928338762214983,13.698819730653574,0.34232121922626024
10.0,0.06514577230523531,0.9947882736156352,13.699134626533892,0.34232121922626024
11.0,0.04772243980683101,0.9954397394136808,13.688611273189782,0.34232121922626024
12.0,0.043600462984706274,0.9966123778501629,13.713105561724861,0.34232121922626024
13.0,0.035926387685712075,0.9973941368078176,13.737110519185576,0.34114888628370454
14.0,0.03127508910248475,0.9972638436482084,13.735358414867978,0.34232121922626024
15.0,0.03134473640212322,0.9975244299674267,13.745505250213014,0.34114888628370454
16.0,0.027921904223555463,0.997785016286645,13.75993448572729,0.34114888628370454
17.0,0.028248944964763444,0.9981758957654723,13.757673588894736,0.34114888628370454
18.0,0.02029232265030304,0.9983061889250814,13.788415819371572,0.34114888628370454
19.0,0.029818620836598864,0.9979153094462541,13.78469715252571,0.3399765533411489
20.0,0.023247140941653,0.9984364820846906,13.785214595190945,0.34114888628370454
21.0,0.022920238575079032,0.9985667752442997,13.77739598183671,0.34114888628370454
22.0,0.02376977029051753,0.9984364820846906,13.767749886999097,0.34114888628370454
23.0,0.020253386970500217,0.9986970684039088,13.754523490825264,0.34114888628370454
24.0,0.020696341579655605,0.9986970684039088,13.772047513534707,0.3388042203985932
25.0,0.0226457917108428,0.9986970684039088,13.789381790831946,0.3399765533411489
