epoch,train_loss,test_exact
1.0,2.303454769725117,0.0
2.0,2.0386922005376547,0.0008333333333333334
3.0,1.9787032442660168,0.0
4.0,1.9411997663885177,0.0
5.0,1.9095794829513264,0.0
6.0,1.879210897075676,0.0008333333333333334
7.0,1.8710391320053779,0.0008333333333333334
8.0,1.8550577975370188,0.0
9.0,1.8282948198842024,0.0008333333333333334
10.0,1.8209693962017484,0.0
11.0,1.8104416369359335,0.0
12.0,1.7861207490148947,0.0
13.0,1.7820442227584787,0.0016666666666666668
14.0,1.7982445945832064,0.0008333333333333334
15.0,1.7644572809720067,0.0
16.0,1.7594288164879042,0.0008333333333333334
17.0,1.7460434962618716,0.0008333333333333334
18.0,1.7581180003475587,0.0008333333333333334
