epoch,train_loss,test_exact
1.0,2.020906150772398,0.0016666666666666668
2.0,1.8485740844832654,0.005
3.0,1.7933728965835565,0.0075
4.0,1.7508934957240232,0.01
5.0,1.7076761366059139,0.0175
6.0,1.6723506622549908,0.013333333333333334
7.0,1.6503349686724071,0.014166666666666666
8.0,1.603974365689499,0.020833333333333332
9.0,1.5783000380865846,0.02
10.0,1.5445415664798734,0.03166666666666667
11.0,1.5132112526643196,0.0325
12.0,1.4990974753938564,0.034166666666666665
13.0,1.4725330677596833,0.035833333333333335
14.0,1.4565998939648166,0.03166666666666667
15.0,1.4222825509730443,0.051666666666666666
