epoch,train_loss,test_exact
1.0,2.0127896386750668,0.0033333333333333335
2.0,1.8365733997302949,0.005833333333333334
3.0,1.7901656785198496,0.005
4.0,1.746050085410031,0.005833333333333334
5.0,1.6971987063492002,0.020833333333333332
6.0,1.6411856839747532,0.019166666666666665
7.0,1.6011376322247208,0.029166666666666667
8.0,1.5525073763753718,0.03
9.0,1.5132372221759511,0.041666666666666664
10.0,1.4899591955520806,0.0425
11.0,1.4510868226266387,0.034166666666666665
12.0,1.435437925859467,0.04583333333333333
13.0,1.410971748694516,0.0525
14.0,1.3991024387933326,0.056666666666666664
15.0,1.3787261332762566,0.08
16.0,1.3587427446047262,0.07833333333333334
17.0,1.3430817937811252,0.08
18.0,1.3253955074838994,0.0825
19.0,1.3055073961957218,0.0875
20.0,1.3029134971919585,0.07583333333333334
21.0,1.2811395893622808,0.10416666666666667
22.0,1.2702188883752177,0.0775
23.0,1.2706198934954749,0.0975
24.0,1.2338264396344254,0.09833333333333333
25.0,1.230709562831336,0.10416666666666667
26.0,1.2273646198070902,0.11
27.0,1.2059241242394705,0.1125
28.0,1.1962495176316041,0.095
29.0,1.185724957237113,0.10416666666666667
30.0,1.1717906836451313,0.10916666666666666
