epoch,train_loss,test_exact
1.0,2.150424054163669,0.0
2.0,2.013991646945226,0.0
3.0,1.9730495033074664,0.0
4.0,1.9487054490235305,0.0008333333333333334
5.0,1.9166452450716425,0.0008333333333333334
6.0,1.8949067833225919,0.0008333333333333334
7.0,1.87960089244534,0.0
8.0,1.8673516225669053,0.0
9.0,1.845911598138757,0.0025
10.0,1.8333358523527112,0.0
11.0,1.8220770111996236,0.0
12.0,1.823457893589138,0.0
13.0,1.798124918854475,0.0008333333333333334
14.0,1.7899860183838263,0.0008333333333333334
15.0,1.7821261588698998,0.0
16.0,1.766728831877178,0.0025
17.0,1.7489508524227713,0.0016666666666666668
18.0,1.7476187350962242,0.0016666666666666668
19.0,1.7322672484103563,0.005
20.0,1.729156734742658,0.0008333333333333334
21.0,1.718067303892458,0.0
22.0,1.7118929800357412,0.0016666666666666668
23.0,1.7036148621798806,0.0008333333333333334
24.0,1.7007236958035936,0.0008333333333333334
25.0,1.7059603816854652,0.0025
26.0,1.6993755495270382,0.0025
27.0,1.6811351534728411,0.0008333333333333334
28.0,1.6766816999028251,0.0025
29.0,1.6727755164875375,0.0025
30.0,1.6628705167296647,0.004166666666666667
