epoch,train_loss,test_exact
1.0,1.7482626353778774,0.0125
2.0,1.5420581401221967,0.0125
3.0,1.4962257081939072,0.010833333333333334
4.0,1.4796576368354746,0.01
5.0,1.4636559226834505,0.013333333333333334
6.0,1.4458515595181127,0.013333333333333334
7.0,1.4316197283267065,0.008333333333333333
8.0,1.421816334790021,0.008333333333333333
9.0,1.4100435218755158,0.014166666666666666
10.0,1.399653344411878,0.010833333333333334
11.0,1.3940340341147215,0.014166666666666666
12.0,1.3857761350775537,0.011666666666666667
13.0,1.3765115251238673,0.011666666666666667
14.0,1.37405495400976,0.015833333333333335
15.0,1.3621009156288213,0.015
16.0,1.353331636186011,0.010833333333333334
17.0,1.3518320665437238,0.0125
18.0,1.334289308338921,0.010833333333333334
19.0,1.3305603470685088,0.009166666666666667
20.0,1.3266747912211474,0.009166666666666667
