epoch,train_loss,test_exact
1.0,0.32819543156512754,0.0008333333333333334
2.0,0.2945509451710115,0.0
3.0,0.286272100219137,0.0025
4.0,0.2826613220660958,0.0
5.0,0.27633305903859406,0.004166666666666667
6.0,0.2743828515209976,0.0016666666666666668
7.0,0.27163362230871535,0.0033333333333333335
8.0,0.26810368460612943,0.0008333333333333334
9.0,0.26707115433219897,0.0033333333333333335
10.0,0.26415397624735054,0.005833333333333334
11.0,0.2627912539926384,0.01
12.0,0.26073208414167603,0.0016666666666666668
