epoch,train_loss,train_acc,val_loss,val_acc
1.0,1.5494238934998403,0.2861237785016287,1.5186529862503373,0.30011723329425555
2.0,1.5112245711286216,0.2996742671009772,1.5066539262970615,0.324736225087925
3.0,1.5055192741275998,0.29915309446254074,1.5042062869245254,0.30246189917936694
4.0,1.5041345847623744,0.3012377850162866,1.503406175974525,0.30363423212192264
5.0,1.5035182665691313,0.3123127035830619,1.5029563407685524,0.30011723329425555
6.0,1.5031481078703939,0.31413680781758957,1.502670248535845,0.2989449003516999
7.0,1.5028732267653127,0.3017589576547231,1.502405740591454,0.3540445486518171
8.0,1.50266317658005,0.33381107491856676,1.5021714201286558,0.30011723329425555
9.0,1.5024567774608004,0.31061889250814334,1.5019445475212714,0.3376318874560375
10.0,1.5021935096392802,0.3194788273615635,1.5017049164453398,0.31887456037514655
11.0,1.501898700546364,0.32638436482084693,1.5015765529165235,0.30011723329425555
12.0,1.5017744292653734,0.31074918566775245,1.5012597738648354,0.3212192262602579
13.0,1.5014839989199311,0.3149185667752443,1.5010396152699819,0.3364595545134818
14.0,1.501327712139788,0.3236482084690554,1.5008194962252206,0.3212192262602579
15.0,1.5011214279740175,0.3202605863192182,1.5005898702046796,0.33528722157092616
16.0,1.5008139224161154,0.3205211726384365,1.500386816815223,0.3505275498241501
17.0,1.5006010667508898,0.3240390879478827,1.5001558993374198,0.34114888628370454
18.0,1.500375570986869,0.3429315960912052,1.4999349087930927,0.34232121922626024
19.0,1.5001914170355284,0.3471009771986971,1.4997172923048943,0.3235638921453693
20.0,1.4999713313851373,0.3301628664495114,1.4994950670430138,0.3388042203985932
21.0,1.4996947250614725,0.3280781758957655,1.4993085042253609,0.3481828839390387
22.0,1.4995099614109202,0.32651465798045604,1.4990693079209412,0.34232121922626024
23.0,1.499249969864513,0.3486644951140065,1.4988484031849423,0.3399765533411489
24.0,1.4990536725171615,0.3485342019543974,1.4986374610194289,0.33528722157092616
25.0,1.4988198156232555,0.3362866449511401,1.498414986717743,0.3399765533411489
26.0,1.4986332830621676,0.33758957654723126,1.4982183113746599,0.3563892145369285
27.0,1.4984415038478491,0.3474918566775244,1.4980083058335996,0.3493552168815944
28.0,1.4981666193878223,0.34501628664495115,1.497787576208081,0.3528722157092614
29.0,1.497999329613552,0.34892508143322476,1.4975897090516084,0.34349355216881594
30.0,1.4977992756125982,0.3519218241042345,1.4973631937925869,0.3481828839390387
