epoch,train_loss,test_exact
1.0,2.154767136258781,0.004166666666666667
2.0,1.8645686599491225,0.0033333333333333335
3.0,1.7390113890255035,0.0075
4.0,1.6783206184191024,0.0075
5.0,1.6365035286981318,0.016666666666666666
6.0,1.6003639546860131,0.020833333333333332
7.0,1.5611583064586416,0.023333333333333334
8.0,1.5133893622071852,0.023333333333333334
9.0,1.461841825984177,0.03916666666666667
10.0,1.4156826770655306,0.049166666666666664
11.0,1.3786643316845926,0.0625
12.0,1.3408639852209985,0.0625
13.0,1.3115746135463997,0.06583333333333333
14.0,1.2733241378711313,0.07916666666666666
15.0,1.2508449309787173,0.07083333333333333
16.0,1.2190239222953365,0.08833333333333333
17.0,1.2096908606967716,0.0925
18.0,1.2012715001287664,0.09333333333333334
19.0,1.163159253457696,0.10333333333333333
20.0,1.147553543046172,0.0975
21.0,1.1351127484833612,0.11083333333333334
22.0,1.1267906531674372,0.1
23.0,1.0961379566379832,0.105
24.0,1.0836366359194551,0.10833333333333334
25.0,1.0757085114366285,0.1075
26.0,1.0505611049838053,0.10833333333333334
27.0,1.0474776717479515,0.12666666666666668
28.0,1.023616806271975,0.11583333333333333
29.0,1.0211156054947583,0.12083333333333333
30.0,1.0042302973680097,0.11833333333333333
31.0,0.9874785644526791,0.12416666666666666
32.0,0.9863763205278572,0.1225
33.0,0.9775965305144738,0.13166666666666665
34.0,0.966911518308071,0.125
35.0,0.9554395990211679,0.12
36.0,0.9468280364964093,0.13083333333333333
37.0,0.9335149634437188,0.1225
38.0,0.9232408401945328,0.13166666666666665
39.0,0.9296358951410503,0.12166666666666667
40.0,0.9487343219494078,0.14833333333333334
41.0,0.9090108018713479,0.13083333333333333
42.0,0.9004529620275862,0.12166666666666667
43.0,0.8983203519512203,0.11916666666666667
44.0,0.9113745357699533,0.12
45.0,0.8836848263178926,0.1425
